Sorting algorithm;Array size;Time (ms)
radixSort;10;0.02
radixSort;100;0.03
radixSort;1000;1.32
heapSort;10;0.01
heapSort;100;0.1
heapSort;1000;0.43
shellSort;10;0
shellSort;100;0.02
shellSort;1000;0.63
sort;10;0
sort;100;0
sort;1000;0.12
mergeSort;10;0.01
mergeSort;100;0.03
mergeSort;1000;0.39
quickSort;10;0.02
quickSort;100;0.04
quickSort;1000;0.59
lsdradix;10;0.01
lsdradix;100;0.02
lsdradix;1000;0.51
msdradixsort;10;0.03
msdradixsort;100;0
msdradixsort;1000;0
selectionSort;10;0
selectionSort;100;0.63
selectionSort;1000;0.38
fastQuickSort;10;0
fastQuickSort;100;0.17
fastQuickSort;1000;0.39
insertionSort;10;0
insertionSort;100;0.21
insertionSort;1000;1.2
